country,continent,sovereignty_date,sovereignty_date_precision,sovereignty_date_raw,last_subordination_date,last_subordination_date_precision,last_subordination_date_raw,previous_power,notes,capital
Brunei,Asia,1984-01-01,full,1 Jan 1984,1984-01-01,full,1 Jan 1984,United Kingdom,"1984–present: Nation of Brunei, the Abode of Peace",Bandar Seri Begawan
Bulgaria,Europe,1908-10-05,full,5 Oct 1908,1908-10-05,full,5 Oct 1908,Ottoman Empire,1990–present: Republic of Bulgaria 1946–1990: People's Republic of Bulgaria 1908–1946: Tsardom of Bulgaria (reunified with Eastern Rumelia where was a part of the Ottoman Empire ),Sofia
Burkina Faso,Africa,1960-08-05,full,5 Aug 1960,1960-08-05,full,5 Aug 1960,France,1984–present: Burkina Faso 1960–1984: Republic of Upper Volta,Ouagadougou
Burundi,Africa,1962-07-01,full,1 July 1962,1962-07-01,full,1 July 1962,Belgium,1966–present: Republic of Burundi 1962–1966: Kingdom of Burundi,Gitega
Cambodia,Asia,1953-11-09,full,9 Nov 1953,1953-11-09,full,9 Nov 1953,France United Nations Transitional Authority in Cambodia,1993–present: Kingdom of Cambodia 1992–1993: United Nations Transitional Authority in Cambodia 1989–1992: State of Cambodia 1979–1989: People's Republic of Kampuchea 1975–1979: Democratic Kampuchea 1970–1975: Khmer Republic 1953–1970: Kingdom of Cambodia,Phnom Penh
Cameroon,Africa,1960-01-01,full,1 Jan 1960,1961-10-01,full,1 Oct 1961,France United Kingdom,"1972–present: Republic of Cameroon , unitary state 1961-1972: Federal Republic of Cameroon 1960-1961: Republic of Cameroon, unitary state Note: French Cameroons gained independence in 1960; added British Southern Cameroons in 1961.",Iaundé
Canada,The Americas,1931-12-11,full,11 Dec 1931,1931-12-11,full,11 Dec 1931,United Kingdom,"1982–present: Canada , a federal state and monarchy in personal union with the United Kingdom , asserts its full independence from the UK by patriating its constitution. 1931–1982: Canada, a federal state and monarchy in personal union with the United Kingdom ( Statute of Westminster in 1931. )",Ottawa
Cape Verde,Africa,1975-07-05,full,5 July 1975,1975-07-05,full,5 July 1975,Portugal,1975–present: Republic of Cabo Verde,Praia
Central African Republic,Africa,1960-08-13,full,13 Aug 1960,1960-08-13,full,13 Aug 1960,France,1960–present:  Central African Republic,Bangui
Chad,Africa,1960-08-11,full,11 Aug 1960,1960-08-11,full,11 Aug 1960,France,1960–present: Republic of Chad,N'Djamena
Chile,The Americas,1818-02-12,full,12 Feb 1818,1818-02-12,full,12 Feb 1818,Spain,"1990–Present: Republic of Chile (Democracy Restored) 1973–1990: Chilean Military Dictatorship 1925–1973: Chilean Presidential Republic 1891–1925: Parliamentary Chile 1861–1891: Liberal Chile 1830–1861: Conservative Chile 1823–1830: Republic of Chile (Organization of the Republic) 1818–1823: Republic of Chile (Patria Nueva, New Fatherland)",Santiago
China,Asia,1616-02-17,full,17 Feb 1616,1945-09-02,full,2 Sep 1945,Japan Soviet Union Second United Front,1949–present: People's Republic of China 1937–1945: Japanese Invasion 1916–present: Republic of China (based in Taiwan since 1949) 1915–1916: Empire of China 1912–1915: Republic of China 1636–1912: Great Qing (informally called Chinese Empire ) 1616-1636: Great Jin (New state) The PRC government in Beijing considers itself the successor of the Republic of China (1912–1949) which legally inherited the whole of China from the Qing dynasty . The ROC government in Taipei denies the legitimacy of the PRC and considers itself the sole legitimate government of the whole of China.,Beijing
